header,header,header,header,header,header,header,header,header
Corrupted Sentreye,Sky Temple Grounds - Abandoned Base,"The Sentreyes were designed by the Luminoth to protect their camps on Dark Aether. The Ing learned how to possess them and turn them on their former masters. Many still remain throughout Dark Aether, now serving the Ing as they served the Luminoth before them. Most weapon types will stun the Sentreyes. Only charged light energy will destroy them.",No,Also found in the Shrine Access,Corrupted Sentreye.png,Dark Aether,Darklings,Darkling Mechanoids
Dark Diligence Drone,Ing Hive - Hazing Cliff,"Some Diligence drones have been taken by the Ing for possession duties. Their small size and durability makes them excellent scouts, able to go where most others cannot. A Dark Diligence still relies on focused energy beams for defense. Their energy construct nature makes them invulnerable to most attacks. A high-powered burst of light energy can disrupt a Dark Diligence unit.",No,Only found in the Hazing Cliff,Dark Diligence Drone mp2 Logbook.png,Dark Aether,Darklings,Darkling Mechanoids
Dark Ingsmasher,Varies,"Once the Ing discovered they could possess intelligent machines, the mighty Ingsmashers were top-priority targets for the Horde. The drones retain all of their attacks - shock-wave fists and missile launchers. It uses an energy shield in battle that can be adjusted to protect against a variety of beam weapons. The shield can be overloaded by opposite-polarity beams.",No,Found in the Hive Portal Chamber and in the Hive Reactor,Dark Ingsmasher.png,Dark Aether,Darklings,Darkling Mechanoids
Dark Quad CM,Sanctuary Fortress - Sanctuary Temple,"The Ing discovered they could possess and control artificially intelligent machines as well as living beings. They soon turned the loyal Quad drones against the Luminoth, finding the tenacious machines to be quite useful additions to the Horde. A dominant darkling assumes control of the Command Module, forcing the lesser Ing in the Main Body to do its bidding.",Yes,Also found in the Hive Temple during the battle against Quadraxis,Dark Quad CM.png,Dark Aether,Darklings,Darkling Mechanoids
Dark Quad MB,Sanctuary Fortress,"The Ing discovered they could possess and control artificially intelligent machines as well as living beings. They soon turned the loyal Quad drones against the Luminoth, finding the tenacious machines to be quite useful additions to the Horde.",Yes,Also found in the Hive Temple during the battle against Quadraxis,Dark Quad MB.png,Dark Aether,Darklings,Darkling Mechanoids
Dark Missile Trooper,Temple Grounds - Hive Chamber A,"Bioscans indicate terminated lifesigns in this missile trooper, and the presence of an unknown biomass with parasitic tendencies. Though the missile trooper's armor has been compromised, the bulk of it remains intact. Missile weapon system remains online as well. Full parasitic fusion has yet to be obtained, resulting in low agility and response time.",Yes,Only appears after the defeat of the Dark Alpha Splinter,Dark Missile Trooper.png,Dark Aether,Darklings,Darkling Offworld
Dark Pirate Commando,Torvus Bog - Great Bridge,"The Ing prize the few Pirate Commandos they manage to take alive. Only Hunter Ing are allowed to possess the Commandos, and the competition for that right is fierce among them. The Hunter Ing ability to phase out of local timespace carries over to the Dark Pirate Commando. They will fire bursts of dark matter at enemies, along with experimental EMP grenades stolen from the Space Pirates.",No,Found throughout Aether and Dark Aether,Dark Pirate Commando (Echoes).png,Dark Aether,Darklings,Darkling Offworld
Dark Pirate Trooper,Agon Wastes - Portal Terminal,"Pirate troopers, already trained to follow orders without question, were perfect candidates for Ing possession. Darklings moves to take every trooper they could, expanding the army of the Horde considerably. Space Pirate technology struck a chord with the Ing, who now hunt actively for gadgetry of any kind - especially weapon systems.",No,Can be found in multiple areas,Dark Pirate Trooper.png,Dark Aether,Darklings,Darkling Offworld
Dark Preed,Dark Torvus Bog - Dark Torvus Arena,"The aggressive Preeds are often possessed by darklings for aerial hunting missions. The presence of the dark creature makes the small cyborg more durable. The toxic gas carried by a Preed is enhanced by exposure to dark energy, making it considerably more dangerous.",No,Can be found in multiple areas,Dark Preed mp2 Logbook.png,Dark Aether,Darklings,Darkling Offworld
Dark Tallon Metroid,Dark Agon Wastes - Phazon Site,"The Ing are fascinated by Metroids and their connection to Phazon. It is not a shared fascination, as Metroids will attack Ing on sight. Recognizing their strength, Ing darklings have possessed a number of Metroids, turning them into powerful soldiers of the Horde.",No,Also found in the Hazing Cliff and Phazon Grounds,Dark Tallon Metroid mp2 Logbook.png,Dark Aether,Darklings,Darkling Offworld
Dark Trooper,Temple Grounds - Command Chamber,"Bioscans indicate terminated lifesigns in this trooper, and the presence of an unknown biomass with parasitic tendencies. Though the trooper's armor has been compromised, the bulk of it remains intact. Weapon systems remain online as well. Full parasitic fusion has yet to be obtained, resulting in low agility and response time.",No,Found in multiple areas of the Temple Grounds,Dark Trooper.png,Dark Aether,Darklings,Darkling Offworld
Emperor Ing Body,Sky Temple - Sanctum,"Bioscans indicate that this is the eldest, strongest Ing in the Horde, the alpha and the omega. It has absorbed enormous amounts of Phazon energy into its body, mutating itself in the process. Apparently this power is not enough for the creature, as it is now siphoning energy from the final Energy Controller.",Yes,Must scan before transformation.*,Emperor Ing Body mp2 Logbook.png,Dark Aether,Darklings,Emperor Ing
Emperor Ing Head,Sky Temple - Sanctum,"Like its brethren, the Emperor Ing is a metamorph. It has molded itself around the precious Energy Controller, and will defend it to the death, using its own body as a shield and weapon. Destroy the tentacles it generates to weaken the creature and its defenses.",Yes,Must scan before transformation.*,Emperor Ing Head mp2 Logbook.png,Dark Aether,Darklings,Emperor Ing
Emperor Ing Eye,Sky Temple - Sanctum,"The Emperor Ing has exposed its main eye, from which it can fire powerful energy beams. It is protected by an energy shield, although not completely. The eye can be locked onto, but only direct shots will get past the shield.",Yes,Must scan before transformation.*,Emperor Ing Eye mp2 Logbook.png,Dark Aether,Darklings,Emperor Ing
Emperor Ing Chrysalis,Sky Temple - Sanctum,The heavily damaged Emperor Ing has entered a regenerative state inside a durable healing shell. Tactical scans have detected eleven weak points on the magnetically charged shell: Spider Ball travel is possible on the shell surface. Damage the weak spots with explosives to crack the shell and expose the enemy within.,Yes,Must scan before transformation.*,Emperor Ing Chrysalis mp2 Logbook.png,Dark Aether,Darklings,Emperor Ing
Mutated Emperor Ing,Sky Temple - Sanctum,"Further exposure to Phazon has mutated the Emperor Ing. It is now capable of shielding its vulnerable areas with energy barriers. Beams of opposite polarity can damage these barriers, however. Heavy damage to these barriers will cause them to drop, exposing the creatures weak spots. Target the weak spots to immobilize and damage the enemy.",Yes,Must scan before defeat.*,Mutated Emperor Ing mp2 Logbook.png,Dark Aether,Darklings,Emperor Ing
Darkling Tentacle,Dark Agon Wastes - Double Path,"Some darklings can open dimensional portals at will. They use this ability to hunt for unwary prey, reaching out to snatch them with their tentacles. Once ensnared, the prey is dragged to its doom. The tentacles are resilient; pure light energy can disrupt them. Nothing can destroy them.",No,Found in all areas of Dark Aether except for the Sky Temple,Darkling Tentacle.png,Dark Aether,Darklings,Ing
Hunter Ing,Dark Torvus Bog - Polluted Mire,"The Hunter Ing patrol the lands of Dark Aether in search of the Horde's enemies. They can render their bodies intangible, allowing them to ambush their targets with ease. Hunter Ing can generate long, deadly tentacles, which they use with great effect in battle. Cunning and relentless, the Hunter Ing will seize their prey or die.",No,Also found in several other locations in Dark Aether,Hunter Ing mp2 Logbook.png,Dark Aether,Darklings,Ing
Ing Larva Swarm,Ing Hive - Entrance Defense Hall,Ing larvae travel in swarms for protection. They are weak with no real defenses or attacks. The few that make it to adulthood are quite cunning and vicious.,No,Only found in the Ing Hive,Ing Larva Swarm mp2 Logbook.png,Dark Aether,Darklings,Ing
Inglet,Dark Agon Wastes - Crossroads,"Inglets preform the menial labor of the Horde, but can but pressed into a combat role if there is a need. They are amorphous blobs, capable of clinging to nearly any surface. Inglets can fire bursts of dark matter in self-defense, though they prefer to avoid battle. They seldom travel alone, and can be dangerous in large numbers. As with are Ings, they dislike bright light, and will avoid it if possible.",No,Also found in several other locations in Dark Aether,Inglet mp2 Logbook.png,Dark Aether,Darklings,Ing
Ingstorm,Sky Temple Grounds - Reliquary Access,"The Ingstorm is a collective swarm of tiny Ing. When banded together, they can emit destructive energy that, over time, can break down the most durable of alloys.",No,Also found in other locations in Dark Aether,Ingstorm mp2 Logbook.png,Dark Aether,Darklings,Ing
Warrior Ing,Dark Agon Wastes - Duelling Range,"Warrior Ing are challenging foes. They can render themselves into amorphous puddles and move over most terrain, including walls. Warrior Ing can turn their bodies into deadly projectiles sheathed by dark energy. The tips of their legs are razor sharp, making them formidable in melee. Finally, Warrior Ing are capable of channeling transdimensional energy and firing it at their enemies. Their only real weakness is bright, pure light, which they hate and fear.",No,Also found in the Sky Temple Grounds and Ing Hive,Warrior Ing.png,Dark Aether,Darklings,Ing
Bomb Guardian,Agon Wastes - Agon Temple,"This darkling Sandigger has absorbed the ability to generate Morph Ball Bombs. It can throw Bombs with considerable accuracy, and frequently lays a spread of Bombs in its wake. Its head and tail are the only vulnerable spots on its body. Target them when they are vulnerable to neutralize and terminate this enemy.",Yes,Can only be scanned before its defeat,Bomb Guardian.png,Dark Aether,Guardians,Sub Guardians
Boost Guardian,Dark Torvus Bog - Dark Torvus Arena,"This Warrior Ing has absorbed the power of the Boost Ball. It can boost-blast toward its enemies, using its body as a potent weapon. When it is not in solid form, engaging it in Morph Ball mode may provide better attack opportunities.",Yes,Can only be scanned before its defeat,Boost Guardian mp2 Logbook.png,Dark Aether,Guardians,Sub Guardians
Grapple Guardian,Dark Torvus Bog - Sacrificial Chamber,"Grapple Beam powered darkling. Well-armored target utilizes Grapple Beam to ensnare enemies. Weak spots detected: back shell and eye. Uses special attack when angered.This darkling Grenchler has absorbed the power of the Grapple Beam. It will fire the beam to snare potential meals and pull them into its waiting jaws. The beam is powerful, and can attach to most surfaces, including your armor. Its eye region is sensitive; damage in the area can induce a state of anger in the target. A weak spot under the back shell is a prime target as well. When angered, it will use a special attack. ",Yes,"Once the Grapple Guardian's shell has been destroyed, scans will no longer add the entry to the logbook",https://cdn.wikimg.net/en/metroidwiki/images/thumb/2/28/Grapple_Guardian.png/60px-Grapple_Guardian.png,Dark Aether,Guardians,Sub Guardians
Jump Guardian,Dark Agon Wastes - Judgment Pit,"Space Jump powered Warrior Ing. Powerful metamorph with enhanced jump abilities. Able to generate energy shock waves and force fields. This Warrior Ing has absorbed the power of the Space Jump Boots. It can leap incredible distances and heights, and uses this ability to great effect in battle. Target can generate powerful shock waves of dark energy, and will sheath itself in a potent force field to protect itself. It cannot maintain the shield indefinitely: concentrate weapon fire on it when the shield is down.",Yes,Can only be scanned before it is defeated,https://cdn.wikimg.net/en/metroidwiki/images/thumb/1/15/Jump_Guardian_mp2_Logbook_01.png/60px-Jump_Guardian_mp2_Logbook_01.png,Dark Aether,Guardians,Sub Guardians
Power Bomb Guardian,Dark Torvus Bog - Undertemple,"This darkling Sporb has absorbed the ability to generate Power Bombs. It can fire these dangerous weapons instead of the venomous needles it normally shoots. The energies of the Power Bomb weapon have made it all but invulnerable. Tremendous kinetic damage will override the protective field, however.",Yes,Can only be scanned before its defeat,Power Bomb Guardian.png,Dark Aether,Guardians,Sub Guardians
Spider Guardian,Sanctuary Fortress - Dynamo Works,This darkling Pillbug has absorbed the power of the Spider Ball. It can travel over magnetically charged surfaces at will. The creature seems to have a connection to the local energy system. Aggravating it may cause disruption to the system.,Yes,Can only be scanned from outside the Morph Ball tunnel in the Dynamo Works,Spider Guardian mp2 Logbook.png,Dark Aether,Guardians,Sub Guardians
Amorbis,Dark Agon Wastes - Dark Agon Temple,"The enormous Amorbis can move through solid rock and earth with ease, and can sense the location of surface-level prey deep within the ground. They will attempt to ram any target they can find in their domain. They are vulnerable to all forms of weapons fire, but are incredibly strong and resistant to pain.",Yes,Entry is only added to the Logbook while the Amorbis are not attached to the Dark Sphere,Amorbis 1.png,Dark Aether,Guardians,Amorbis
Dark Amorbis,Dark Agon Wastes - Dark Agon Temple,"The Amorbis can attach themselves to the Dark Sphere, drawing potent energy from within. They can fire dark energy at Light Crystals, nullifying Safe Zones for a short time. They can also channel this energy into powerful beam attacks. Bioscans indicate a weak spot inside the creature's mouth. Concentrate your fire at this area to damage an Amorbis.",Yes,Entry is only added to the Logbook while the Amorbis are attached to the Dark Sphere,Amorbis 2.png,Dark Aether,Guardians,Amorbis
Chykka Larva,Dark Torvus Bog - Dark Torvus Temple,"Scans indicate that this bioform is an infant, but aging rapidly. The creature can ensnare targets with its tongue, drawing them into its mouth. It then covers its prey with acidic globs of biomatter to break it down for digestion. This is an exceptional bioform with both a dark and light nature.",Yes,Can only be scanned before it transforms into the adult Chykka,Chykka Larva.png,Dark Aether,Guardians,Chykka
Chykka,Dark Torvus Bog - Dark Torvus Temple,"The Chykka has rapidly aged to its adult form. It will attack by firing high-powered bursts of dark water at rapid speed. If frustrated, it will attempt to dive and ram you. Most of the Chykka's body is vulnerable to weapons fire, but scans indicate that such fire will only stun it. When stunned, however, four weak spots will appear. These spots are vulnerable to attack: target them to damage the enemy.",Yes,Can only be entered into the Logbook before Chykka enters its dark form a second time,Chykka.png,Dark Aether,Guardians,Chykka
Dark Chykka,Dark Torvus Bog - Dark Torvus Temple,"The Chykka has recovered, and energized its body with dark energy. This energy has rendered most of the creature immune to attack, including its wings. Tactical scans indicate that its eggsac is vulnerable, however. Target it to damage the creature.",Yes,Entry can no longer be added to the Logbook once Chykka is defeated,Dark Chykka.png,Dark Aether,Guardians,Chykka
Chyklings,Dark Torvus Bog - Dark Torvus Temple,"Interaction with dark energy has mutated the Chykka. Its offspring are now born as flyers, skipping the larval stage completely. These infants are highly protective of their parent, and will streak to attack on sight. They lack their parent's durability, however, making them easy targets.",Yes,Entry can no longer be added to the Logbook once Chykka is defeated,Chyklings.png,Dark Aether,Guardians,Chykka
Quadraxis,Ing Hive - Hive Temple,"The Quadraxis unit went rogue and entered the service of the Ing. Its primary weapon system fires destructive matter-antimatter blasts. It uses a powerful missile battery for long-distance attacks. The Quadraxis is incredibly durable and well-armored, but its leg and foot joints are vulnerable. Damaging these joints will eventually render it immobile.",Yes,Entry can no longer be added to the Logbook after its main body is disabled,Quadraxis mp2 Logbook.png,Dark Aether,Guardians,Quadraxis
Damaged Quadraxis,Ing Hive - Hive Temple,"Though the main body is disabled, the tactical control unit within it is still active. It will guide the Head Module in battle via high-sonic transmissions. Disabling this module will impair the Head Module's ability to fight.",Yes,Damaged Quadraxis can be scanned for its Logbook entry up until the point that the Annihilator Beam is acquired,Damaged Quadraxis.png,Dark Aether,Guardians,Quadraxis
Shielded Head Module,Ing Hive - Hive Temple,The Head Module of the Quadraxis is highly mobile and well armed. It is shielded by an impervious force field. Tactical commands are sent to the module from the crippled main body: sever this link to impair the Head Module's combat ability.,Yes,The entry can only be added to the Logbook when the shield over the head module is active,Shielded Head Module.png,Dark Aether,Guardians,Quadraxis
Stunned Head Module,Ing Hive - Hive Temple,Head Module is unable to receive tactical data. Force field offline. Unit is generating drones to defend itself while it attempts to restore tactical link to main body. Destroy sonic receptors on unit to prevent this.,Yes,The entry can no longer be added to the Logbook after its antennae are destroyed,Stunned Head Module mp2 Logbook.png,Dark Aether,Guardians,Quadraxis
Final Head Module,Ing Hive - Hive Temple,Module has lost its tactical link to the main body. Two points of structural weakness have been located on its hull: Morph Ball Bombs can cause damage to these areas. Scans indicate that the Spider Ball can attach to the Module's outer hull.,Yes,Can only be added to the Logbook once its antennae are destroyed,Final Head Module.png,Dark Aether,Guardians,Quadraxis
Dark Samus 1,Agon Wastes - Main Reactor,"Scans indicate the presence of Phazon and your genetic material within this entity. She wears a version of the Varia Suit, altered and augmented by the Phazon within her. Primary weapons include the Missile Launcher and a scattershot variant of the Power Beam. Boost and Jump abilities are superior to yours. The ability to generate Phazon energy shields is also present.",Yes,Can only scanned before she is defeated,Dark Samus mp2 Logbook.png,Dark Aether,Offworld,Dark Samus
Dark Samus 2,Sanctuary Fortress - Aerie Access,"Tactical scans have identified several new battle systems in the armor of Dark Samus. She now wields a potent variant of your Charge Beam. Her Boost attack has been augmented, and the ability to render herself invisible is present as well. Bioscans suggest that Dark Samus can reform her body short of total atomic disruption. Extreme caution recommended.",Yes,"Can be scanned in both Aerie Access and Aerie, can only be scanned before she is defeated",Dark Samus mp2 Logbook.png,Dark Aether,Offworld,Dark Samus
Dark Samus 3,Sky Temple Grounds - Sky Temple Gateway,"Scans indicate that Dark Samus has absorbed tremendous levels of Phazon into her body: too much, perhaps. She can vent Phazon energy in the form of destructive blasts and protective shields: doing so will help her maintain stability. Exposure to Phazon has rendered her invisible to the Dark Visor. These new abilities, combined with her already formidable arsenal, place Dark Samus at the highest threat level.",Yes,Can only be scanned before Dark Samus raises her Phazon-based shield for the first time.*,Dark Samus 3 mp2 Logbook.png,Dark Aether,Offworld,Dark Samus
Dark Samus 4,Sky Temple Grounds - Sky Temple Gateway,"Dark Samus has temporarily become a being of pure yet unstable Phazon energy. She can generate a shield that is invulnerable to all attacks, save one - blasts of Phazon energy itself. Use your Charge Beam to collect Phazon energy that she expels, then fire it back at her. Direct hits will overload and disrupt her essence.",Yes,Can only be scanned after Dark Samus raises her Phazon-based shield for the first time.*,Dark Samus 3 mp2 Logbook.png,Dark Aether,Offworld,Dark Samus
Tallon Metroid,Agon Wastes - Biostorage Station,"The Space Pirates harvest and enslave Metroids for use in their operations. The Tallon Metroid will latch onto prey with powerful pincers, then proceed to drain its life energy. This causes the creature to grow in size and mass. The creatures are vulnerable to the chilling effect of dark energy, and can be detached by entering Morph Ball mode and deploying a Bomb.",No,Can later be found in Bioenergy Production,Tallon Metroid mp2 Logbook 01.png,Dark Aether,Offworld,Metroids
Infant Tallon Metroid,Agon Wastes - Biostorage Station,"The Space Pirates use infant Tallon Metroids as a portable energy source. Small in size, they are easy to transport in large quantities. They are docile, efficient organic batteries...until they are exposed to Phazon. At that point, they grow rapidly and acquire their full array of powers.",No,None,Infant Tallon Metroid mp2 Logbook.png,Dark Aether,Offworld,Metroids
Pirate Aerotrooper,Agon Wastes - Bioenergy Production,"Pirate Aerotroopers are known for their cold precision and utter cruelty. Armed with both beam and missile systems, the Aerotroopers can be a difficult foe to engage, especially at range. Their jet packs can be overloaded with heat-based attacks, however. These units prefer death before dishonor: an injured Aerotrooper will make a suicide strike before allowing himself to be captured.",No,Can later be found in the Mining Station A and in the Watch Station,Pirate Aerotrooper mp2 Logbook 01.png,Dark Aether,Offworld,Pirates
Pirate Commando,Torvus Bog - Torvus Grove,"Dedicated to ""hunting the Hunter,"" Space Pirate Commando units have been equipped with the latest weapons, including a variable pulse cannon, e-grenade launcher, and energy scythe. Powerful thrusters carry them at high speed over any terrain. A portable barrier shield repels most attacks, but can only be deployed for limited periods.",Yes,Can later be scanned in the Sanctuary Entrance and a final time in the Phazon Grounds,Pirate Commando mp2 Logbook.png,Dark Aether,Offworld,Pirates
Pirate Grenadier,Agon Wastes - Command Center,"The Space Pirates have begun to use an experimental energy grenade launcher in the field. The weapon is viewed as a mixed blessing to the Grenadier units: while the grenade launchers are powerful weapons, Grenadiers must leave their rifles behind to carry them. Fast-moving targets can close range on Grenadiers, rendering their main weapons somewhat ineffective.",No,Can also be scanned in the first visit to the Path of Eyes,Pirate Grenadier mp2 Logbook.png,Dark Aether,Offworld,Pirates
Pirate Trooper,Agon Wastes - Mining Station A,"The Space Pirates suffered a serious defeat at Tallon IV, yet they remain a powerful force for crime and disorder in the galaxy. Their technology continues to advance: even the lowly trooper has received numerous upgrades to his arsenal. A photonic power scythe and quantum assault cannon are now standard-issue weapons for all troopers.",Yes,"Can later be scanned in the Central Mining Station, Command Center, the Portal Terminal, the Path of Eyes, and a final time in Torvus Temple",Pirate Trooper mp2 Logbook 01.png,Dark Aether,Offworld,Pirates
Preed,Torvus Bog - Hydrodynamo Station,"The cybernetic Preeds are aggressive hunters used as patrol animals by the Space Pirates. They carry lethal Nohadin gas for use as a defense mechanism. If a Preed is ruptured, the gas within it is violently released. This toxic cloud often proves fatal to the Preed's killer.",No,Only found in the Hydrodynamo Station of Torvus Bog,Preed mp2 Logbook.png,Dark Aether,Offworld,Pirates
